,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
121,2475,465.98233,La Rivière-du-Nord (MRC),115165,24,CD,La Rivière-du-Nord (MRC),465.98233,128170,58580,55009,14.1,0.000122433,1920,0.016671732,3275,0.028437459
122,2476,1328.36808,Argenteuil (MRC),32117,24,CD,Argenteuil (MRC),1328.36808,32389,19081,14789,19.9,0.00061961,525,0.016346483,420,0.013077187
123,2477,734.32499,Les Pays-d'en-Haut (MRC),40331,24,CD,Les Pays-d'en-Haut (MRC),734.32499,41877,29723,20698,15.6,0.000386799,505,0.012521386,700,0.017356376
124,2478,2675.60186,Les Laurentides (MRC),45157,24,CD,Les Laurentides (MRC),2675.60186,45902,36150,21972,17.5,0.000387537,995,0.022034236,640,0.014172775
125,2479,16317.3884,Antoine-Labelle (MRC),35159,24,CD,Antoine-Labelle (MRC),16317.3884,35243,23399,16474,21.2,0.000602975,2155,0.061292983,215,0.006115077
126,2480,3208.05169,Papineau (MRC),22541,24,CD,Papineau (MRC),3208.05169,22832,15893,10401,18.1,0.000802981,705,0.031276341,200,0.008872721
127,2481,381.39039,Gatineau (Tï¿½),265349,24,CD,Gatineau (Tï¿½),381.39039,276245,125608,118385,13,4.89921E-05,10420,0.039269038,36760,0.138534534
128,2482,2195.74606,Les Collines-de-l'Outaouais (MRC),46393,24,CD,Les Collines-de-l'Outaouais (MRC),2195.74606,49094,23164,18756,7.9,0.000170284,2395,0.051624167,1010,0.021770526
129,2483,14143.17636,La Vallée-de-la-Gatineau (MRC),20530,24,CD,La Vallée-de-la-Gatineau (MRC),14143.17636,20182,15363,9392,23.7,0.001154408,4625,0.225280078,140,0.006819289
130,2484,14136.33785,Pontiac (MRC),14358,24,CD,Pontiac (MRC),14136.33785,14251,10208,6203,21.2,0.001476529,2545,0.177253099,90,0.006268282
131,2485,19250.78559,Témiscamingue (MRC),16425,24,CD,Témiscamingue (MRC),19250.78559,15980,8992,7129,15.7,0.00095586,1920,0.116894977,155,0.009436834
132,2486,6483.32734,Rouyn-Noranda (Tï¿½),41012,24,CD,Rouyn-Noranda (Tï¿½),6483.32734,42334,20568,18851,12.7,0.000309665,1065,0.025968009,805,0.019628401
133,2487,3618.84655,Abitibi-Ouest (MRC),21003,24,CD,Abitibi-Ouest (MRC),3618.84655,20538,10053,9026,15.2,0.000723706,485,0.023091939,50,0.002380612
134,2488,7940.80138,Abitibi (MRC),24354,24,CD,Abitibi (MRC),7940.80138,24639,11374,10529,11.8,0.00048452,1105,0.045372423,195,0.008006898
135,2489,27344.644,La Vallée-de-l'Or (MRC),42896,24,CD,La Vallée-de-l'Or (MRC),27344.644,43226,20224,19040,13,0.000303059,3590,0.083690787,800,0.018649758
136,2490,29649.51577,La Tuque (Tï¿½),15130,24,CD,La Tuque (Tï¿½),29649.51577,15059,8360,6377,17.8,0.001176471,4415,0.291804362,120,0.007931262
137,2491,19364.88786,Le Domaine-du-Roy (MRC),31870,24,CD,Le Domaine-du-Roy (MRC),19364.88786,31285,16549,13729,14.6,0.000458111,3880,0.121744587,180,0.005647945
138,2492,38264.67146,Maria-Chapdelaine (MRC),25279,24,CD,Maria-Chapdelaine (MRC),38264.67146,24793,11916,10805,15.3,0.000605245,1870,0.073974445,180,0.007120535
139,2493,3409.01411,Lac-Saint-Jean-Est (MRC),52520,24,CD,Lac-Saint-Jean-Est (MRC),3409.01411,52741,25450,22909,13.2,0.000251333,1880,0.035795887,400,0.007616146
140,2494,45216.42057,Le Saguenay-et-son-Fjord (CDR),165211,24,CD,Le Saguenay-et-son-Fjord (CDR),45216.42057,167549,81769,75351,13.2,7.98978E-05,7020,0.042491117,2040,0.012347846
